2020-10-13 08:45:11,b'RT @Purnima47782155: @nilotpalm3 They all are supporting bullyweed for their career and their son/daughter career. \nUnlike @itsSSR they don\xe2\x80\xa6'
2020-10-13 08:45:08,b'@Swamy39 @narendramodi\n@AmitShah\n\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f Respected Sir \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\nSushant Singh death case CBI slowly investigating \xf0\x9f\x99\x84\xf0\x9f\x98\xad\xf0\x9f\x99\x84\xe2\x80\xa6 https://t.co/o0xt64hMz9'
2020-10-13 08:45:04,b'RT @LoveIndianNavy: #BollywoodScaredOfArnab \n#BollywoodDirt \n\n#JusticeForSSR \n\nThese can not be our ideal for sure.\nRetweet if you are agre\xe2\x80\xa6'
2020-10-13 08:44:42,b'RT @itsdiyakumari: Awww. My heart felt this. The pain and emotion in this poem is in the heart of everyone. Sushant is a star and star neve\xe2\x80\xa6'
2020-10-13 08:44:31,"b""RT @IamMukesh90: #JusticeForSSR\nNo Sushant, No Bollywood !!\nI'm boycotting Bollywood !!\n\n#BoycottBollywood\n\n#\xe0\xa4\xac\xe0\xa5\x89\xe0\xa4\xaf\xe0\xa4\x95\xe0\xa5\x89\xe0\xa4\x9f_\xe0\xa4\xac\xe0\xa5\x89\xe0\xa4\xb2\xe0\xa5\x80\xe0\xa4\xb5\xe0\xa5\x81\xe0\xa4\xa1_\xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xa1\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80\n\n#Bol\xe2\x80\xa6"""
2020-10-13 08:44:30,"b""RT @Raghvendrar83: #BoycottBollywood \n#BollywoodDirt \n#\xe0\xa4\xac\xe0\xa5\x89\xe0\xa4\xaf\xe0\xa4\x95\xe0\xa5\x89\xe0\xa4\x9f_\xe0\xa4\xac\xe0\xa5\x89\xe0\xa4\xb2\xe0\xa5\x80\xe0\xa4\xb5\xe0\xa5\x81\xe0\xa4\xa1_\xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xa1\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80\n#JusticeForSSR \n#JusticeForSushantSinghRajput\nDon't insult\xe2\x80\xa6"""
2020-10-13 08:44:21,b'RT @Harshi68376665: Hi !!!!!! This is @itsSSR\n\nkeep fighting for Me\n\nkeep fighting for Disha\n\nkeep fighting for Truth\n\nkeep fighting for Ju\xe2\x80\xa6'
2020-10-13 08:44:09,"b""RT @IamMukesh90: #JusticeForSSR\nNo Sushant, No Bollywood !!\nI'm boycotting Bollywood !!\n\n#BoycottBollywood\n\n#\xe0\xa4\xac\xe0\xa5\x89\xe0\xa4\xaf\xe0\xa4\x95\xe0\xa5\x89\xe0\xa4\x9f_\xe0\xa4\xac\xe0\xa5\x89\xe0\xa4\xb2\xe0\xa5\x80\xe0\xa4\xb5\xe0\xa5\x81\xe0\xa4\xa1_\xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xa1\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80\n\n#Bol\xe2\x80\xa6"""
2020-10-13 08:43:46,"b'RT @Autumn_7Ga: @latestly @akshaykumar @BeingSalmanKhan @iamsrk @ajaydevgn @karanjohar Marna ya jeena...JUSTICE shall prevail.\nAnd, sooner\xe2\x80\xa6'"
2020-10-13 08:43:44,b'RT @LoveIndianNavy: #BollywoodScaredOfArnab \n#BollywoodDirt \n\n#JusticeForSSR \n\nThese can not be our ideal for sure.\nRetweet if you are agre\xe2\x80\xa6'
